Producto 20295: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20296: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20297: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20298: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20299: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20300: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20301: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20302: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20303: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20304: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20305: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20306: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20307: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20309: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20310: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20311: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20313: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20314: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20315: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20316: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20317: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20319: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20320: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20321: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20322: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20323: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20324: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20325: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20326: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20327: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20328: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20329: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20330: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20332: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20334: mejor modelo = regresion, MAE sep-nov = 0.0000
