Producto 20265: MAEs - LGBM=16.5413, Reg=5.4311, ARIMA=5.9939, AutoGluon=inf, XGB=inf
Producto 20266: MAEs - LGBM=16.8493, Reg=12.7263, ARIMA=19.8145, AutoGluon=inf, XGB=inf
Producto 20267: MAEs - LGBM=3.5149, Reg=2.2883, ARIMA=3.8940, AutoGluon=inf, XGB=inf
Producto 20268: MAEs - LGBM=9.9535, Reg=9.2905, ARIMA=8.4470, AutoGluon=inf, XGB=inf
Producto 20269: MAEs - LGBM=2.8442, Reg=0.9156, ARIMA=5.8009, AutoGluon=inf, XGB=inf
Producto 20270: MAEs - LGBM=17.2147, Reg=20.0118, ARIMA=17.0690, AutoGluon=inf, XGB=inf
Producto 20271: MAEs - LGBM=14.0589, Reg=6.5200, ARIMA=3.6504, AutoGluon=inf, XGB=inf
Producto 20272: MAEs - LGBM=8.4186, Reg=6.3858, ARIMA=5.8343, AutoGluon=inf, XGB=inf
Producto 20273: MAEs - LGBM=8.9488, Reg=4.9107, ARIMA=6.3869, AutoGluon=inf, XGB=inf
Producto 20275: MAEs - LGBM=5.3572, Reg=4.2573, ARIMA=8.0594, AutoGluon=inf, XGB=inf
Producto 20276: MAEs - LGBM=1.5861, Reg=0.2921, ARIMA=1.4704, AutoGluon=inf, XGB=inf
Producto 20277: MAEs - LGBM=11.7777, Reg=11.7832, ARIMA=10.2625, AutoGluon=inf, XGB=inf
Producto 20278: MAEs - LGBM=13.4694, Reg=3.3898, ARIMA=5.1963, AutoGluon=inf, XGB=inf
Producto 20280: MAEs - LGBM=3.2966, Reg=2.8618, ARIMA=1.5355, AutoGluon=inf, XGB=inf
Producto 20281: MAEs - LGBM=9.7587, Reg=7.9202, ARIMA=7.9773, AutoGluon=inf, XGB=inf
Producto 20282: MAEs - LGBM=8.1861, Reg=7.6169, ARIMA=8.0486, AutoGluon=inf, XGB=inf
Producto 20283: MAEs - LGBM=8.0032, Reg=6.7196, ARIMA=4.5310, AutoGluon=inf, XGB=inf
Producto 20284: MAEs - LGBM=8.8518, Reg=7.8874, ARIMA=6.2765, AutoGluon=inf, XGB=inf
Producto 20285: MAEs - LGBM=13.9773, Reg=8.7261, ARIMA=7.0915, AutoGluon=inf, XGB=inf
Producto 20288: MAEs - LGBM=1.7611, Reg=2.5316, ARIMA=4.4182, AutoGluon=inf, XGB=inf
Producto 20289: MAEs - LGBM=11.6995, Reg=15.0993, ARIMA=14.8035, AutoGluon=inf, XGB=inf
Producto 20290: MAEs - LGBM=2.7712, Reg=2.0957, ARIMA=1.7242, AutoGluon=inf, XGB=inf
Producto 20291: MAEs - LGBM=10.1264, Reg=10.6420, ARIMA=9.9263, AutoGluon=inf, XGB=inf
Producto 20292: MAEs - LGBM=9.8924, Reg=8.7767, ARIMA=7.0707, AutoGluon=inf, XGB=inf
Producto 20295: MAEs - LGBM=13.3286, Reg=14.0726, ARIMA=15.0998, AutoGluon=inf, XGB=inf
Producto 20296: MAEs - LGBM=0.2465, Reg=3.0396, ARIMA=0.6664, AutoGluon=inf, XGB=inf
Producto 20297: MAEs - LGBM=12.0758, Reg=11.5400, ARIMA=1.3610, AutoGluon=inf, XGB=inf
Producto 20298: MAEs - LGBM=7.7025, Reg=4.2587, ARIMA=7.8378, AutoGluon=inf, XGB=inf
Producto 20299: MAEs - LGBM=10.0944, Reg=15.7513, ARIMA=13.9552, AutoGluon=inf, XGB=inf
Producto 20300: MAEs - LGBM=0.7528, Reg=1.6855, ARIMA=0.2187, AutoGluon=inf, XGB=inf
Producto 20301: MAEs - LGBM=11.1078, Reg=10.2300, ARIMA=10.7703, AutoGluon=inf, XGB=inf
